Label (Grouping),Median income (dollars)
ZCTA5 97534,
    Households,
        Estimate,"21,269"
        Margin of Error,"±4,902"
    Families,
        Estimate,"23,889"
        Margin of Error,"±15,409"
    Married-couple families,
        Estimate,"23,452"
        Margin of Error,"±18,900"
    Nonfamily households,
        Estimate,"18,085"
        Margin of Error,"±5,298"
ZCTA5 97535,
    Households,
        Estimate,"38,427"
        Margin of Error,"±8,960"
    Families,
        Estimate,"52,667"
        Margin of Error,"±7,502"
    Married-couple families,
        Estimate,"54,361"
        Margin of Error,"±16,140"
    Nonfamily households,
        Estimate,"21,698"
        Margin of Error,"±3,165"
ZCTA5 97536,
    Households,
        Estimate,"36,065"
        Margin of Error,"±11,689"
    Families,
        Estimate,"47,644"
        Margin of Error,"±10,357"
    Married-couple families,
        Estimate,"43,512"
        Margin of Error,"±33,540"
    Nonfamily households,
        Estimate,"23,456"
        Margin of Error,"±7,494"
ZCTA5 97537,
    Households,
        Estimate,"52,960"
        Margin of Error,"±8,700"
    Families,
        Estimate,"59,468"
        Margin of Error,"±11,505"
    Married-couple families,
        Estimate,"64,063"
        Margin of Error,"±14,529"
    Nonfamily households,
        Estimate,"32,500"
        Margin of Error,"±14,247"
ZCTA5 97538,
    Households,
        Estimate,"48,995"
        Margin of Error,"±14,479"
    Families,
        Estimate,"49,531"
        Margin of Error,"±28,288"
    Married-couple families,
        Estimate,"61,287"
        Margin of Error,"±16,487"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97539,
    Households,
        Estimate,"43,824"
        Margin of Error,"±16,720"
    Families,
        Estimate,"63,689"
        Margin of Error,"±20,687"
    Married-couple families,
        Estimate,"64,713"
        Margin of Error,"±19,811"
    Nonfamily households,
        Estimate,"18,446"
        Margin of Error,"±8,012"
ZCTA5 97540,
    Households,
        Estimate,"44,012"
        Margin of Error,"±5,314"
    Families,
        Estimate,"63,109"
        Margin of Error,"±5,712"
    Married-couple families,
        Estimate,"69,803"
        Margin of Error,"±9,760"
    Nonfamily households,
        Estimate,"27,301"
        Margin of Error,"±6,908"
ZCTA5 97541,
    Households,
        Estimate,"40,694"
        Margin of Error,"±36,589"
    Families,
        Estimate,"65,167"
        Margin of Error,"±28,076"
    Married-couple families,
        Estimate,"68,056"
        Margin of Error,"±32,663"
    Nonfamily households,
        Estimate,"8,927"
        Margin of Error,±777
ZCTA5 97543,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"96,250"
        Margin of Error,"±28,035"
    Married-couple families,
        Estimate,"95,859"
        Margin of Error,"±41,692"
    Nonfamily households,
        Estimate,"24,722"
        Margin of Error,"±19,546"
ZCTA5 97544,
    Households,
        Estimate,"53,190"
        Margin of Error,"±18,253"
    Families,
        Estimate,"76,250"
        Margin of Error,"±13,042"
    Married-couple families,
        Estimate,"78,036"
        Margin of Error,"±14,546"
    Nonfamily households,
        Estimate,"32,778"
        Margin of Error,"±21,315"
ZCTA5 97601,
    Households,
        Estimate,"45,392"
        Margin of Error,"±4,701"
    Families,
        Estimate,"59,431"
        Margin of Error,"±4,904"
    Married-couple families,
        Estimate,"71,673"
        Margin of Error,"±7,576"
    Nonfamily households,
        Estimate,"27,606"
        Margin of Error,"±4,926"
ZCTA5 97603,
    Households,
        Estimate,"51,790"
        Margin of Error,"±3,516"
    Families,
        Estimate,"58,963"
        Margin of Error,"±4,383"
    Married-couple families,
        Estimate,"75,102"
        Margin of Error,"±10,398"
    Nonfamily households,
        Estimate,"24,808"
        Margin of Error,"±6,934"
ZCTA5 97604,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97620,
    Households,
        Estimate,"26,354"
        Margin of Error,"±16,348"
    Families,
        Estimate,"64,583"
        Margin of Error,"±50,138"
    Married-couple families,
        Estimate,"90,250"
        Margin of Error,"±64,418"
    Nonfamily households,
        Estimate,"24,853"
        Margin of Error,"±2,334"
ZCTA5 97621,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97622,
    Households,
        Estimate,"45,238"
        Margin of Error,"±32,149"
    Families,
        Estimate,"45,238"
        Margin of Error,"±23,118"
    Married-couple families,
        Estimate,"47,024"
        Margin of Error,"±6,171"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97623,
    Households,
        Estimate,"45,703"
        Margin of Error,"±12,419"
    Families,
        Estimate,"46,136"
        Margin of Error,"±15,992"
    Married-couple families,
        Estimate,"70,417"
        Margin of Error,"±32,071"
    Nonfamily households,
        Estimate,"29,375"
        Margin of Error,"±24,792"
ZCTA5 97624,
    Households,
        Estimate,"45,771"
        Margin of Error,"±10,621"
    Families,
        Estimate,"55,333"
        Margin of Error,"±20,344"
    Married-couple families,
        Estimate,"55,750"
        Margin of Error,"±23,383"
    Nonfamily households,
        Estimate,"29,391"
        Margin of Error,"±9,629"
ZCTA5 97625,
    Households,
        Estimate,"74,333"
        Margin of Error,"±73,736"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,"172,917"
        Margin of Error,"±43,968"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97626,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97627,
    Households,
        Estimate,"64,397"
        Margin of Error,"±20,214"
    Families,
        Estimate,"64,569"
        Margin of Error,"±20,840"
    Married-couple families,
        Estimate,"64,914"
        Margin of Error,"±22,408"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97630,
    Households,
        Estimate,"51,311"
        Margin of Error,"±9,069"
    Families,
        Estimate,"71,691"
        Margin of Error,"±9,846"
    Married-couple families,
        Estimate,"91,333"
        Margin of Error,"±14,565"
    Nonfamily households,
        Estimate,"23,482"
        Margin of Error,"±9,370"
ZCTA5 97632,
    Households,
        Estimate,"57,198"
        Margin of Error,"±20,044"
    Families,
        Estimate,"75,515"
        Margin of Error,"±28,811"
    Married-couple families,
        Estimate,"78,493"
        Margin of Error,"±3,698"
    Nonfamily households,
        Estimate,"26,563"
        Margin of Error,"±4,854"
ZCTA5 97633,
    Households,
        Estimate,"45,933"
        Margin of Error,"±4,267"
    Families,
        Estimate,"48,047"
        Margin of Error,"±6,593"
    Married-couple families,
        Estimate,"51,932"
        Margin of Error,"±13,549"
    Nonfamily households,
        Estimate,"27,865"
        Margin of Error,"±9,699"
ZCTA5 97634,
    Households,
        Estimate,"55,208"
        Margin of Error,"±21,981"
    Families,
        Estimate,"56,250"
        Margin of Error,"±14,971"
    Married-couple families,
        Estimate,"57,083"
        Margin of Error,"±29,562"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97635,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97636,
    Households,
        Estimate,"52,500"
        Margin of Error,"±14,347"
    Families,
        Estimate,"55,250"
        Margin of Error,"±7,935"
    Married-couple families,
        Estimate,"63,875"
        Margin of Error,"±10,051"
    Nonfamily households,
        Estimate,"26,786"
        Margin of Error,"±9,631"
ZCTA5 97637,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"65,833"
        Margin of Error,"±11,139"
    Married-couple families,
        Estimate,"65,833"
        Margin of Error,"±11,139"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97638,
    Households,
        Estimate,"53,971"
        Margin of Error,"±21,435"
    Families,
        Estimate,"58,409"
        Margin of Error,"±25,777"
    Married-couple families,
        Estimate,"59,659"
        Margin of Error,"±39,138"
    Nonfamily households,
        Estimate,"39,286"
        Margin of Error,"±18,994"
ZCTA5 97639,
    Households,
        Estimate,"31,366"
        Margin of Error,"±20,093"
    Families,
        Estimate,"21,667"
        Margin of Error,"±17,618"
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97640,
    Households,
        Estimate,"50,455"
        Margin of Error,"±40,961"
    Families,
        Estimate,"75,833"
        Margin of Error,"±21,892"
    Married-couple families,
        Estimate,"75,833"
        Margin of Error,"±21,892"
    Nonfamily households,
        Estimate,"30,893"
        Margin of Error,"±10,961"
ZCTA5 97641,
    Households,
        Estimate,"33,472"
        Margin of Error,"±3,172"
    Families,
        Estimate,"34,034"
        Margin of Error,"±6,972"
    Married-couple families,
        Estimate,"40,833"
        Margin of Error,"±18,941"
    Nonfamily households,
        Estimate,"28,409"
        Margin of Error,"±10,617"
ZCTA5 97701,
    Households,
        Estimate,"74,338"
        Margin of Error,"±4,824"
    Families,
        Estimate,"93,155"
        Margin of Error,"±4,965"
    Married-couple families,
        Estimate,"105,792"
        Margin of Error,"±7,980"
    Nonfamily households,
        Estimate,"43,338"
        Margin of Error,"±6,174"
ZCTA5 97702,
    Households,
        Estimate,"69,140"
        Margin of Error,"±5,188"
    Families,
        Estimate,"79,406"
        Margin of Error,"±5,446"
    Married-couple families,
        Estimate,"91,025"
        Margin of Error,"±6,956"
    Nonfamily households,
        Estimate,"42,723"
        Margin of Error,"±6,491"
ZCTA5 97707,
    Households,
        Estimate,"69,775"
        Margin of Error,"±3,573"
    Families,
        Estimate,"77,031"
        Margin of Error,"±12,366"
    Married-couple families,
        Estimate,"85,510"
        Margin of Error,"±15,046"
    Nonfamily households,
        Estimate,"52,617"
        Margin of Error,"±16,733"
ZCTA5 97710,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97711,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97712,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97720,
    Households,
        Estimate,"36,652"
        Margin of Error,"±3,916"
    Families,
        Estimate,"50,552"
        Margin of Error,"±7,283"
    Married-couple families,
        Estimate,"56,984"
        Margin of Error,"±12,432"
    Nonfamily households,
        Estimate,"25,054"
        Margin of Error,"±12,193"
ZCTA5 97721,
    Households,
        Estimate,"33,929"
        Margin of Error,"±13,393"
    Families,
        Estimate,"34,750"
        Margin of Error,"±23,403"
    Married-couple families,
        Estimate,"47,813"
        Margin of Error,"±22,693"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97722,
    Households,
        Estimate,"63,125"
        Margin of Error,"±26,435"
    Families,
        Estimate,"63,750"
        Margin of Error,"±26,740"
    Married-couple families,
        Estimate,"74,583"
        Margin of Error,"±17,133"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97730,
    Households,
        Estimate,"77,917"
        Margin of Error,"±18,397"
    Families,
        Estimate,"95,625"
        Margin of Error,"±45,396"
    Married-couple families,
        Estimate,"97,679"
        Margin of Error,"±40,748"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97731,
    Households,
        Estimate,"30,625"
        Margin of Error,"±6,475"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,"21,000"
        Margin of Error,"±7,819"
ZCTA5 97732,
    Households,
        Estimate,"28,750"
        Margin of Error,"±25,564"
    Families,
        Estimate,"30,625"
        Margin of Error,"±25,378"
    Married-couple families,
        Estimate,"30,625"
        Margin of Error,"±25,378"
    Nonfamily households,
        Estimate,"2,500-"
        Margin of Error,***
ZCTA5 97733,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,"97,688"
        Margin of Error,"±41,639"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97734,
    Households,
        Estimate,"60,795"
        Margin of Error,"±7,554"
    Families,
        Estimate,"70,341"
        Margin of Error,"±13,574"
    Married-couple families,
        Estimate,"79,196"
        Margin of Error,"±11,806"
    Nonfamily households,
        Estimate,"36,875"
        Margin of Error,"±7,440"
ZCTA5 97735,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97736,
    Households,
        Estimate,"86,250"
        Margin of Error,"±45,614"
    Families,
        Estimate,"97,188"
        Margin of Error,"±32,358"
    Married-couple families,
        Estimate,"96,250"
        Margin of Error,"±24,987"
    Nonfamily households,
        Estimate,"38,250"
        Margin of Error,"±5,851"
ZCTA5 97737,
    Households,
        Estimate,"34,875"
        Margin of Error,"±20,375"
    Families,
        Estimate,"40,217"
        Margin of Error,"±18,532"
    Married-couple families,
        Estimate,"40,167"
        Margin of Error,"±21,502"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97738,
    Households,
        Estimate,"62,367"
        Margin of Error,"±11,462"
    Families,
        Estimate,"65,521"
        Margin of Error,"±8,519"
    Married-couple families,
        Estimate,"70,745"
        Margin of Error,"±8,132"
    Nonfamily households,
        Estimate,"29,083"
        Margin of Error,"±6,259"
ZCTA5 97739,
    Households,
        Estimate,"48,415"
        Margin of Error,"±8,289"
    Families,
        Estimate,"49,828"
        Margin of Error,"±7,425"
    Married-couple families,
        Estimate,"57,273"
        Margin of Error,"±15,126"
    Nonfamily households,
        Estimate,"26,333"
        Margin of Error,"±13,864"
ZCTA5 97741,
    Households,
        Estimate,"52,400"
        Margin of Error,"±6,122"
    Families,
        Estimate,"66,205"
        Margin of Error,"±8,049"
    Married-couple families,
        Estimate,"81,117"
        Margin of Error,"±7,835"
    Nonfamily households,
        Estimate,"26,414"
        Margin of Error,"±7,870"
ZCTA5 97750,
    Households,
        Estimate,"48,207"
        Margin of Error,"±3,277"
    Families,
        Estimate,"55,000"
        Margin of Error,"±10,135"
    Married-couple families,
        Estimate,"54,375"
        Margin of Error,"±14,964"
    Nonfamily households,
        Estimate,"23,958"
        Margin of Error,"±14,087"
ZCTA5 97751,
    Households,
        Estimate,"39,063"
        Margin of Error,"±23,186"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97752,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97753,
    Households,
        Estimate,"106,641"
        Margin of Error,"±17,171"
    Families,
        Estimate,"101,509"
        Margin of Error,"±20,444"
    Married-couple families,
        Estimate,"108,628"
        Margin of Error,"±20,597"
    Nonfamily households,
        Estimate,"118,500"
        Margin of Error,"±57,793"
ZCTA5 97754,
    Households,
        Estimate,"56,035"
        Margin of Error,"±3,669"
    Families,
        Estimate,"66,769"
        Margin of Error,"±5,463"
    Married-couple families,
        Estimate,"74,196"
        Margin of Error,"±3,017"
    Nonfamily households,
        Estimate,"32,570"
        Margin of Error,"±3,358"
ZCTA5 97756,
    Households,
        Estimate,"66,120"
        Margin of Error,"±4,565"
    Families,
        Estimate,"72,958"
        Margin of Error,"±5,225"
    Married-couple families,
        Estimate,"81,983"
        Margin of Error,"±5,005"
    Nonfamily households,
        Estimate,"36,713"
        Margin of Error,"±6,639"
ZCTA5 97758,
    Households,
        Estimate,"25,625"
        Margin of Error,"±6,440"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,"42,500"
        Margin of Error,"±35,815"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97759,
    Households,
        Estimate,"77,351"
        Margin of Error,"±12,294"
    Families,
        Estimate,"90,896"
        Margin of Error,"±7,933"
    Married-couple families,
        Estimate,"91,759"
        Margin of Error,"±6,257"
    Nonfamily households,
        Estimate,"36,862"
        Margin of Error,"±12,065"
ZCTA5 97760,
    Households,
        Estimate,"64,722"
        Margin of Error,"±7,909"
    Families,
        Estimate,"73,538"
        Margin of Error,"±8,835"
    Married-couple families,
        Estimate,"74,552"
        Margin of Error,"±9,806"
    Nonfamily households,
        Estimate,"37,353"
        Margin of Error,"±13,941"
ZCTA5 97761,
    Households,
        Estimate,"35,333"
        Margin of Error,"±10,124"
    Families,
        Estimate,"38,705"
        Margin of Error,"±11,923"
    Married-couple families,
        Estimate,"65,750"
        Margin of Error,"±30,273"
    Nonfamily households,
        Estimate,"16,414"
        Margin of Error,"±2,840"
ZCTA5 97801,
    Households,
        Estimate,"60,830"
        Margin of Error,"±6,532"
    Families,
        Estimate,"72,758"
        Margin of Error,"±6,098"
    Married-couple families,
        Estimate,"82,443"
        Margin of Error,"±9,138"
    Nonfamily households,
        Estimate,"32,077"
        Margin of Error,"±10,508"
ZCTA5 97810,
    Households,
        Estimate,"50,250"
        Margin of Error,"±8,347"
    Families,
        Estimate,"54,211"
        Margin of Error,"±23,735"
    Married-couple families,
        Estimate,"91,250"
        Margin of Error,"±40,682"
    Nonfamily households,
        Estimate,"40,455"
        Margin of Error,"±7,625"
ZCTA5 97812,
    Households,
        Estimate,"56,154"
        Margin of Error,"±17,006"
    Families,
        Estimate,"73,393"
        Margin of Error,"±18,433"
    Married-couple families,
        Estimate,"74,107"
        Margin of Error,"±16,194"
    Nonfamily households,
        Estimate,"31,705"
        Margin of Error,"±10,338"
ZCTA5 97813,
    Households,
        Estimate,"65,428"
        Margin of Error,"±7,033"
    Families,
        Estimate,"71,128"
        Margin of Error,"±8,472"
    Married-couple families,
        Estimate,"71,951"
        Margin of Error,"±12,066"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97814,
    Households,
        Estimate,"49,961"
        Margin of Error,"±4,633"
    Families,
        Estimate,"57,184"
        Margin of Error,"±7,567"
    Married-couple families,
        Estimate,"65,485"
        Margin of Error,"±10,158"
    Nonfamily households,
        Estimate,"32,582"
        Margin of Error,"±5,429"
ZCTA5 97817,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97818,
    Households,
        Estimate,"57,422"
        Margin of Error,"±7,969"
    Families,
        Estimate,"62,027"
        Margin of Error,"±4,542"
    Married-couple families,
        Estimate,"64,750"
        Margin of Error,"±16,819"
    Nonfamily households,
        Estimate,"25,938"
        Margin of Error,"±10,948"
ZCTA5 97819,
    Households,
        Estimate,"50,833"
        Margin of Error,"±10,226"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97820,
    Households,
        Estimate,"43,958"
        Margin of Error,"±13,319"
    Families,
        Estimate,"49,750"
        Margin of Error,"±14,842"
    Married-couple families,
        Estimate,"58,438"
        Margin of Error,"±23,602"
    Nonfamily households,
        Estimate,"35,278"
        Margin of Error,"±11,720"
ZCTA5 97823,
    Households,
        Estimate,"33,994"
        Margin of Error,"±7,623"
    Families,
        Estimate,"60,882"
        Margin of Error,"±8,950"
    Married-couple families,
        Estimate,"62,500"
        Margin of Error,"±8,115"
    Nonfamily households,
        Estimate,"16,969"
        Margin of Error,"±8,713"
ZCTA5 97824,
    Households,
        Estimate,"62,353"
        Margin of Error,"±6,639"
    Families,
        Estimate,"71,000"
        Margin of Error,"±11,736"
    Married-couple families,
        Estimate,"72,917"
        Margin of Error,"±10,447"
    Nonfamily households,
        Estimate,"36,548"
        Margin of Error,"±10,340"
ZCTA5 97825,
    Households,
        Estimate,"49,375"
        Margin of Error,"±12,666"
    Families,
        Estimate,"53,864"
        Margin of Error,"±7,349"
    Married-couple families,
        Estimate,"55,714"
        Margin of Error,"±3,976"
    Nonfamily households,
        Estimate,"35,000"
        Margin of Error,"±15,817"
ZCTA5 97826,
    Households,
        Estimate,"34,806"
        Margin of Error,"±16,439"
    Families,
        Estimate,"45,417"
        Margin of Error,"±28,309"
    Married-couple families,
        Estimate,"50,000"
        Margin of Error,"±33,254"
    Nonfamily households,
        Estimate,"23,500"
        Margin of Error,"±13,686"
ZCTA5 97827,
    Households,
        Estimate,"47,980"
        Margin of Error,"±3,695"
    Families,
        Estimate,"53,924"
        Margin of Error,"±8,203"
    Married-couple families,
        Estimate,"61,442"
        Margin of Error,"±13,131"
    Nonfamily households,
        Estimate,"26,351"
        Margin of Error,"±5,091"
ZCTA5 97828,
    Households,
        Estimate,"46,108"
        Margin of Error,"±8,161"
    Families,
        Estimate,"73,542"
        Margin of Error,"±20,018"
    Married-couple families,
        Estimate,"78,977"
        Margin of Error,"±26,011"
    Nonfamily households,
        Estimate,"26,506"
        Margin of Error,"±3,851"
ZCTA5 97830,
    Households,
        Estimate,"45,488"
        Margin of Error,"±8,710"
    Families,
        Estimate,"47,500"
        Margin of Error,"±19,542"
    Married-couple families,
        Estimate,"58,125"
        Margin of Error,"±25,093"
    Nonfamily households,
        Estimate,"41,818"
        Margin of Error,"±15,509"
ZCTA5 97833,
    Households,
        Estimate,"60,500"
        Margin of Error,"±20,908"
    Families,
        Estimate,"63,269"
        Margin of Error,"±4,411"
    Married-couple families,
        Estimate,"64,471"
        Margin of Error,"±8,173"
    Nonfamily households,
        Estimate,"23,500"
        Margin of Error,"±7,887"
ZCTA5 97834,
    Households,
        Estimate,"37,725"
        Margin of Error,"±9,611"
    Families,
        Estimate,"37,813"
        Margin of Error,"±13,320"
    Married-couple families,
        Estimate,"44,438"
        Margin of Error,"±5,415"
    Nonfamily households,
        Estimate,"31,510"
        Margin of Error,"±8,525"
ZCTA5 97835,
    Households,
        Estimate,"95,833"
        Margin of Error,"±60,458"
    Families,
        Estimate,"109,688"
        Margin of Error,"±92,416"
    Married-couple families,
        Estimate,"157,738"
        Margin of Error,"±82,201"
    Nonfamily households,
        Estimate,"26,071"
        Margin of Error,"±17,293"
ZCTA5 97836,
    Households,
        Estimate,"42,647"
        Margin of Error,"±11,986"
    Families,
        Estimate,"66,641"
        Margin of Error,"±43,474"
    Married-couple families,
        Estimate,"90,473"
        Margin of Error,"±33,738"
    Nonfamily households,
        Estimate,"36,658"
        Margin of Error,"±5,884"
ZCTA5 97837,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"80,179"
        Margin of Error,"±39,988"
    Married-couple families,
        Estimate,"80,179"
        Margin of Error,"±39,988"
    Nonfamily households,
        Estimate,"2,500-"
        Margin of Error,***
ZCTA5 97838,
    Households,
        Estimate,"64,579"
        Margin of Error,"±4,863"
    Families,
        Estimate,"71,301"
        Margin of Error,"±4,978"
    Married-couple families,
        Estimate,"79,692"
        Margin of Error,"±8,388"
    Nonfamily households,
        Estimate,"40,033"
        Margin of Error,"±5,189"
ZCTA5 97839,
    Households,
        Estimate,"38,542"
        Margin of Error,"±18,953"
    Families,
        Estimate,"50,781"
        Margin of Error,"±12,047"
    Married-couple families,
        Estimate,"39,750"
        Margin of Error,"±35,070"
    Nonfamily households,
        Estimate,"24,583"
        Margin of Error,"±16,408"
ZCTA5 97840,
    Households,
        Estimate,"135,500"
        Margin of Error,"±29,629"
    Families,
        Estimate,"135,500"
        Margin of Error,"±36,144"
    Married-couple families,
        Estimate,"135,750"
        Margin of Error,"±64,872"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97841,
    Households,
        Estimate,"73,750"
        Margin of Error,"±19,517"
    Families,
        Estimate,"81,944"
        Margin of Error,"±13,050"
    Married-couple families,
        Estimate,"85,682"
        Margin of Error,"±13,414"
    Nonfamily households,
        Estimate,"29,125"
        Margin of Error,"±14,975"
ZCTA5 97842,
    Households,
        Estimate,"38,000"
        Margin of Error,"±25,208"
    Families,
        Estimate,"40,938"
        Margin of Error,"±19,395"
    Married-couple families,
        Estimate,"40,938"
        Margin of Error,"±19,395"
    Nonfamily households,
        Estimate,"23,625"
        Margin of Error,"±2,562"
ZCTA5 97843,
    Households,
        Estimate,"70,833"
        Margin of Error,"±15,922"
    Families,
        Estimate,"93,073"
        Margin of Error,"±19,907"
    Married-couple families,
        Estimate,"93,698"
        Margin of Error,"±13,487"
    Nonfamily households,
        Estimate,"34,250"
        Margin of Error,"±13,612"
ZCTA5 97844,
    Households,
        Estimate,"63,387"
        Margin of Error,"±12,587"
    Families,
        Estimate,"67,674"
        Margin of Error,"±13,697"
    Married-couple families,
        Estimate,"70,611"
        Margin of Error,"±5,982"
    Nonfamily households,
        Estimate,"45,417"
        Margin of Error,"±15,978"
ZCTA5 97845,
    Households,
        Estimate,"42,051"
        Margin of Error,"±15,625"
    Families,
        Estimate,"61,500"
        Margin of Error,"±15,194"
    Married-couple families,
        Estimate,"71,393"
        Margin of Error,"±10,922"
    Nonfamily households,
        Estimate,"28,286"
        Margin of Error,"±8,924"
ZCTA5 97846,
    Households,
        Estimate,"59,985"
        Margin of Error,"±3,616"
    Families,
        Estimate,"72,672"
        Margin of Error,"±22,132"
    Married-couple families,
        Estimate,"76,250"
        Margin of Error,"±18,540"
    Nonfamily households,
        Estimate,"41,563"
        Margin of Error,"±35,334"
ZCTA5 97848,
    Households,
        Estimate,"52,500"
        Margin of Error,"±15,692"
    Families,
        Estimate,"53,750"
        Margin of Error,"±22,096"
    Married-couple families,
        Estimate,"54,000"
        Margin of Error,"±23,531"
    Nonfamily households,
        Estimate,"48,750"
        Margin of Error,"±35,466"
ZCTA5 97850,
    Households,
        Estimate,"51,230"
        Margin of Error,"±4,801"
    Families,
        Estimate,"64,541"
        Margin of Error,"±4,745"
    Married-couple families,
        Estimate,"86,270"
        Margin of Error,"±7,330"
    Nonfamily households,
        Estimate,"28,969"
        Margin of Error,"±3,817"
ZCTA5 97856,
    Households,
        Estimate,"45,750"
        Margin of Error,"±27,065"
    Families,
        Estimate,"61,500"
        Margin of Error,"±14,136"
    Married-couple families,
        Estimate,"62,000"
        Margin of Error,"±18,849"
    Nonfamily households,
        Estimate,"31,736"
        Margin of Error,"±28,338"
ZCTA5 97857,
    Households,
        Estimate,"47,206"
        Margin of Error,"±11,780"
    Families,
        Estimate,"58,409"
        Margin of Error,"±11,833"
    Married-couple families,
        Estimate,"57,727"
        Margin of Error,"±18,308"
    Nonfamily households,
        Estimate,"28,500"
        Margin of Error,"±18,832"
ZCTA5 97859,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"103,512"
        Margin of Error,"±67,941"
    Married-couple families,
        Estimate,"103,512"
        Margin of Error,"±67,941"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97862,
    Households,
        Estimate,"45,294"
        Margin of Error,"±16,274"
    Families,
        Estimate,"62,818"
        Margin of Error,"±8,621"
    Married-couple families,
        Estimate,"75,279"
        Margin of Error,"±7,887"
    Nonfamily households,
        Estimate,"20,281"
        Margin of Error,"±4,075"
ZCTA5 97864,
    Households,
        Estimate,"32,414"
        Margin of Error,"±6,180"
    Families,
        Estimate,"75,556"
        Margin of Error,"±47,331"
    Married-couple families,
        Estimate,"76,389"
        Margin of Error,"±25,577"
    Nonfamily households,
        Estimate,"31,806"
        Margin of Error,"±2,376"
